run_name,noise_type,noise_idx,p_nhs,logit_nhs,penult_norm,penult_n_active,is_zero_vector
baseline_noweight_seed2,binary_p0.3,11,0.0010733860544860363,-6.8359,11.8886,9,False
baseline_noweight_seed2,binary_p0.3,12,0.0008941460982896388,-7.0187,11.6067,9,False
baseline_noweight_seed2,binary_p0.3,13,0.0009718479122966528,-6.9353,12.0558,9,False
baseline_noweight_seed2,binary_p0.3,14,0.0014821470249444246,-6.5128,11.3082,9,False
baseline_noweight_seed2,binary_p0.3,15,0.0006913767429068685,-7.2761,11.6601,9,False
baseline_noweight_seed2,binary_p0.3,16,0.0012713760370388627,-6.6664,11.3953,9,False
baseline_noweight_seed2,binary_p0.3,17,0.001426154631190002,-6.5513,11.5325,9,False
baseline_noweight_seed2,binary_p0.3,18,0.0008369918796233833,-7.0849,11.8173,9,False
baseline_noweight_seed2,binary_p0.3,19,0.0006690057343803346,-7.309,12.1594,9,False
baseline_noweight_seed2,binary_p0.3,20,0.0016529196873307228,-6.4036,11.456,9,False
baseline_noweight_seed2,binary_p0.3,21,0.0016300404677167535,-6.4175,11.4983,9,False
baseline_noweight_seed2,binary_p0.3,22,0.0011500058462843299,-6.7668,11.5929,9,False
baseline_noweight_seed2,binary_p0.3,23,0.0011027787113562226,-6.8088,11.5085,9,False
baseline_noweight_seed2,binary_p0.3,24,0.0007545408443547785,-7.1886,12.0518,9,False
baseline_noweight_seed2,binary_p0.3,25,0.001421795692294836,-6.5544,11.7319,9,False
baseline_noweight_seed2,binary_p0.3,26,0.001017425092868507,-6.8895,11.7552,9,False
baseline_noweight_seed2,binary_p0.3,27,0.0007762652239762247,-7.1602,12.2063,9,False
baseline_noweight_seed2,binary_p0.3,28,0.0015052324160933495,-6.4973,11.4476,9,False
baseline_noweight_seed2,binary_p0.3,29,0.001278825686313212,-6.6605,11.455,9,False
